Date,SP500_Return,VIX,Yield_Spread,Regime_GMM,Regime_label
2015-08-07,-0.580966872587707,-0.7695467242376058,0.482827518256621,1,Calm
2015-08-14,0.2158858014844125,-0.8382368276920604,0.5045310616929916,1,Calm
2015-08-21,-2.518614207651013,1.0262075340260013,0.4394204313838801,0,Stressful
2015-08-28,0.3143077007059903,0.7833389581326952,0.5045310616929916,0,Stressful
2015-09-04,-1.49254542481346,0.9979953705824822,0.4502722031020653,0,Stressful
2015-09-11,0.7873766993232901,0.433755845022866,0.5262346051293619,0,Stressful
2015-09-18,-0.1250263397725753,0.3209078931195582,0.4719757465384358,1,Calm
2015-09-25,-0.628922890957958,0.4852733933690918,0.5045310616929916,0,Stressful
2015-10-02,0.3652241503668377,0.1565423928700246,0.4394204313838801,1,Calm
2015-10-09,1.263758388054252,-0.3169283974568637,0.5045310616929916,1,Calm
2015-10-16,0.3110243213766652,-0.5659298031446474,0.4611239748202506,1,Calm
2015-10-23,0.7851878722068547,-0.638299698058558,0.4611239748202506,1,Calm
2015-10-30,0.0225405767813584,-0.5634766478311638,0.4394204313838801,1,Calm
2015-11-06,0.3314582064948676,-0.6542456170208144,0.4719757465384358,1,Calm
2015-11-13,-1.5896838254851615,0.0510540238856283,0.4502722031020653,0,Stressful
2015-11-20,1.2690281911497556,-0.5144122547984216,0.3526062576383985,1,Calm
2015-11-27,-0.0426769338325209,-0.5573435840797636,0.3200509424838427,1,Calm
2015-12-04,-0.0300357690688751,-0.595368368777216,0.3417544859202132,1,Calm
2015-12-11,-1.6601688298668058,0.5797220370397372,0.2657920838929166,0,Stressful
2015-12-18,-0.2016874819571928,0.127103827237456,0.2332367687383608,1,Calm
2015-12-25,1.0664799413348736,-0.4812938977063972,0.2332367687383608,1,Calm
2016-01-01,-0.4048561547424074,-0.1783217883589043,0.2223849970201756,1,Calm
2016-01-08,-2.604719318687805,0.9010934546198924,0.2006814535838051,0,Stressful
2016-01-15,-0.9684685195010152,0.9023200907658648,0.1898296818656199,0,Stressful
2016-01-22,0.5190409795461695,0.3282674760384697,0.2006814535838051,0,Stressful
2016-01-29,0.6555710498207377,0.065773423680374,0.1898296818656199,1,Calm
2016-02-05,-1.3646247645159642,0.4558345937796004,0.1247190515565087,0,Stressful
2016-02-12,-0.3985755756434497,0.7036094802998731,0.0270531060928416,0,Stressful
2016-02-19,1.097792389682199,0.1062514806697712,-0.005502209061714,0,Stressful
2016-02-26,0.5864132552848416,0.0179355498151425,-0.0489092959344549,1,Calm
2016-03-04,1.0269907009524395,-0.3439136907974875,-0.005502209061714,1,Calm
2016-03-11,0.3952654616419908,-0.3880716562248019,0.0053495626564711,1,Calm
2016-03-18,0.4951461033748223,-0.6922704017182671,0.0379048778110269,1,Calm
2016-03-25,-0.3374491990537491,-0.6039547048205612,0.0162013343746564,1,Calm
2016-04-01,0.6804003181873044,-0.8051183536215747,0.0270531060928416,1,Calm
2016-04-08,-0.5667825100026139,-0.527905018447195,0.0162013343746564,1,Calm
2016-04-15,0.6025350054490239,-0.7413347947510096,0.0162013343746564,1,Calm
